"","veh_value","exposure","numclaims","veh_body","veh_age","gender","area","agecat","claimsize"
"63480",11.799999,0.41889119,1,"STNWG",4,"M","A",1,120822
"45188",10.700001,0.0027379,1,"SEDAN",3,"F","D",4,143432
"60876",19.6,0.087611198,1,"STNWG",3,"F","F",3,5877
"27281",19.799999,0.76933599,1,"STNWG",2,"F","D",2,2000
"42864",8.6999998,0.72826833,1,"HBACK",3,"F","A",5,2000
"47575",3.0999999,0.2299795,1,"HBACK",4,"F","B",3,22550
"10007",23.4,0.8295688,1,"SEDAN",2,"F","B",2,2000
"12452",14.700001,0.36960989,1,"HBACK",2,"F","B",4,4305
"16327",17.6,0.46269679,1,"HBACK",2,"F","A",3,3297
"17156",6.9000001,0.17796031,1,"SEDAN",4,"F","D",3,20223
"28914",39.299999,0.202601,1,"STNWG",3,"M","B",5,10447
"59986",66.5,0.94182068,1,"RDSTR",1,"M","B",5,2000
"64460",17.700001,0.63518143,1,"PANVN",3,"M","B",4,2578
"44451",19.6,0.79945242,1,"STNWG",3,"F","D",4,2000
"30394",12.4,0.50376463,1,"HDTOP",4,"F","E",2,3899
"28531",11.7,0.75290889,1,"HBACK",2,"M","A",3,18073
"63169",15,0.54757023,1,"SEDAN",3,"F","C",4,6830
"39378",11.7,0.8240931,1,"SEDAN",3,"M","C",4,2000
"37869",14.700001,0.53935659,1,"UTE",4,"M","B",1,3538
"2831",11.7,0.50650239,1,"SEDAN",3,"F","A",5,2000
"26063",19.299999,0.20533881,2,"SEDAN",1,"M","A",3,4000
"61599",7.9000001,0.25462011,1,"HBACK",3,"M","A",3,3691
"54051",12.799999,0.90896648,1,"TRUCK",3,"M","C",1,44188
"19964",10.4,0.83230662,1,"HBACK",2,"F","B",2,13336
"54647",17.6,0.39425051,1,"UTE",3,"M","D",3,102912
"39259",4,0.66529769,1,"SEDAN",4,"M","B",3,2000
"30865",45.599998,0.3422313,1,"STNWG",1,"F","C",2,2000
"50819",15.4,0.67351133,1,"PANVN",3,"M","C",1,2000
"44448",23.800001,0.62423003,1,"SEDAN",1,"F","A",3,64422
"66117",11.3,0.22724161,1,"SEDAN",3,"F","B",6,4155
"66748",45.599998,0.53114313,1,"STNWG",1,"F","A",3,4818
"59612",4.3000002,0.46543461,2,"SEDAN",4,"M","A",6,27157
"58581",34.599998,0.91991788,1,"UTE",1,"F","A",3,2000
"10701",8.6000004,0.84873372,1,"SEDAN",4,"F","C",2,34984
"36432",13.5,0.41615331,1,"HBACK",1,"M","C",1,10745
"36126",28.099998,0.53661883,1,"STNWG",3,"M","C",3,7704
"40455",14.9,0.50102669,1,"SEDAN",3,"F","B",4,10083
"31005",14.6,0.87063652,1,"HBACK",2,"M","B",4,47950
"24581",4,0.065708399,1,"SEDAN",4,"F","B",6,3677
"65090",25.5,0.99931562,1,"STNWG",3,"M","F",2,3899
"16596",37.099998,0.45995891,1,"HDTOP",2,"M","C",1,3450
"64714",6.1999998,0.12867901,2,"SEDAN",4,"F","C",3,21353
"2498",7.9000001,0.8898015,1,"HBACK",4,"M","B",2,10847
"10846",14.099999,0.97467488,1,"HBACK",2,"F","A",6,6056
"3736",22.299999,0.1423682,1,"SEDAN",1,"F","B",4,11768
"2957",12.9,0.057494901,1,"HDTOP",4,"F","C",1,3537
"50359",15.49,0.9445585,1,"HBACK",1,"F","B",2,13113
"25932",16.4,0.41615331,1,"HBACK",3,"F","A",4,2000
"7937",12.799999,0.38056129,1,"HBACK",2,"F","A",4,4539
"15363",6.9000001,0.032854199,1,"SEDAN",4,"M","A",4,43264
"58601",10.900001,0.9609856,1,"SEDAN",3,"F","D",3,3796
"62291",29,0.87611222,1,"SEDAN",1,"M","E",2,4500
"40329",19.9,0.74469543,1,"SEDAN",2,"M","C",6,5695
"55492",7.2000003,0.202601,1,"HBACK",4,"M","D",4,74700
"52989",16.1,0.3093771,1,"UTE",3,"M","C",4,10080
"35790",15.900001,0.59411359,1,"HBACK",2,"F","C",3,48991
"18890",34.200001,0.68172479,1,"TRUCK",2,"F","E",2,4089
"34203",16,0.65982199,1,"SEDAN",1,"F","E",4,138132
"43287",22.5,0.9555099,1,"TRUCK",2,"M","D",2,3537
"67816",13.6,0.83230662,1,"SEDAN",3,"F","B",4,14151
"47001",6.6000004,0.076659799,1,"HBACK",4,"F","C",4,61631
"25354",20.200001,0.94182068,2,"SEDAN",2,"M","E",4,18049
"44746",52.360001,0.98015058,1,"STNWG",1,"F","D",4,3691
"23503",17.799999,0.807666,1,"SEDAN",2,"F","A",2,15226
"15684",12.4,0.22724161,1,"SEDAN",3,"M","D",3,27430
"14477",9.1000004,0.55852163,1,"HBACK",3,"M","A",4,37924
"23243",40.799999,0.36413419,1,"STNWG",2,"F","F",2,6609
"4370",4,0.8295688,1,"STNWG",4,"M","B",3,3845
"56147",7.0999999,0.71184123,1,"HBACK",4,"F","A",4,63541
"25618",31.989998,0.36960989,1,"STNWG",1,"M","A",4,8135
"33082",17.299999,0.93634498,1,"HBACK",1,"M","C",6,312436
"63835",34.599998,0.35865849,1,"STNWG",2,"M","B",5,5600
"47762",37.700001,0.9609856,2,"STNWG",2,"F","F",6,33212
"39070",6.5,0.2874743,1,"UTE",4,"M","C",1,18292
"62583",7,0.62696779,1,"SEDAN",4,"F","A",3,13843
"583",16.5,0.087611198,1,"STNWG",4,"M","C",5,3537
"65075",33.099998,0.75017112,1,"STNWG",3,"M","E",2,5507
"57425",17.299999,0.28473651,1,"SEDAN",1,"F","B",4,8263
"48252",22.700001,0.83778232,1,"UTE",2,"M","A",2,13726
"42792",32.599998,0.74469543,1,"STNWG",2,"M","E",4,3899
"39414",34.599998,0.88158798,1,"UTE",1,"M","A",4,4881
"12593",10.5,0.78028738,1,"SEDAN",3,"M","B",4,6333
"51328",29.9,0.98288852,1,"STNWG",3,"F","A",5,16728
"34760",14.8,0.71457899,1,"SEDAN",2,"M","C",4,3537
"8566",7.7999997,0.42984259,1,"STNWG",4,"M","C",5,3778
"22478",33.800003,0.99931562,1,"UTE",1,"F","F",2,3899
"56800",11.7,0.59685153,1,"TRUCK",3,"M","C",4,69443
"30084",11.5,0.12867901,1,"SEDAN",3,"F","C",5,2000
"1688",9.1999998,0.8459959,1,"HBACK",3,"F","A",3,2000
"38142",4.4000001,0.73100609,2,"SEDAN",4,"F","B",6,21333
"6346",18.6,0.81587952,1,"HBACK",3,"M","B",4,27770
"63663",35.899998,0.2710472,3,"SEDAN",4,"F","F",3,52388
"20643",31.5,0.41067761,1,"MCARA",3,"M","A",3,3691
"47055",7.5999999,0.29295,1,"SEDAN",4,"F","A",5,2000
"50514",5,0.94729638,1,"HBACK",4,"F","A",5,29308
"9887",8.3000002,0.57768649,1,"SEDAN",4,"F","B",4,32224
"16738",7.7999997,0.9336071,1,"STNWG",4,"F","B",3,7259
"63097",11.900001,0.26830941,1,"SEDAN",3,"F","C",6,12605
"23184",18.799999,0.52292949,1,"SEDAN",3,"F","A",1,2000
"12131",5.4000001,0.24914441,1,"HBACK",4,"F","A",4,10287
"7429",13.7,0.86516082,1,"HBACK",3,"F","A",2,2000
"27027",22.299999,0.3148528,1,"SEDAN",2,"F","B",3,3502
"61276",25.1,0.94182068,1,"STNWG",1,"F","C",2,2000
"13837",4.4000001,0.56125939,1,"SEDAN",4,"F","A",5,2000
"15143",15.8,0.85420942,1,"HBACK",3,"F","C",5,2000
"35053",22.4,0.49281311,1,"UTE",3,"F","D",4,3492
"14066",17.1,0.0301164,1,"HBACK",2,"F","E",6,141986
"52138",11.2,0.21629021,1,"HBACK",2,"M","A",5,2000
"26840",24.300001,0.79945242,1,"SEDAN",1,"F","D",6,24930
"6697",14.099999,0.1177276,1,"HBACK",2,"M","D",3,16846
"25385",14.2,0.56673509,2,"HBACK",3,"F","A",5,12003
"22265",20.200001,0.8021903,2,"SEDAN",2,"F","A",5,59971
"51827",24.200001,0.33401781,1,"MCARA",3,"M","D",3,4400
"51416",8.6000004,0.98562628,1,"HBACK",3,"F","C",2,4411
"61733",19.5,0.9390828,1,"HBACK",1,"F","B",4,130569
"24190",13.9,0.18891171,1,"HBACK",1,"F","C",6,8567
"55646",19.6,0.67351133,1,"HBACK",1,"F","D",6,9284
"46023",4.5999999,0.34770709,1,"HBACK",4,"F","B",2,2000
"54693",5.6999998,0.29021221,1,"STNWG",4,"F","A",4,2000
"65842",16.200001,0.63244349,1,"STNWG",4,"M","C",3,30651
"17299",21.700001,0.8295688,1,"SEDAN",2,"F","C",3,6841
"35548",17.5,0.046543501,1,"SEDAN",1,"F","C",1,3592
"59293",9.1999998,0.65982199,1,"SEDAN",3,"F","A",4,2000
"11284",24.1,0.862423,1,"SEDAN",1,"M","B",6,7998
"52638",24.700001,0.36960989,1,"UTE",3,"M","A",1,3200
"52739",45.300003,0.8898015,1,"TRUCK",1,"M","C",2,2000
"36023",11.799999,0.99383992,1,"SEDAN",3,"F","B",3,2000
"53257",26,0.75017112,1,"MIBUS",3,"M","F",3,38666
"59752",56.399998,0.57768649,2,"STNWG",2,"F","A",3,16579
"24668",13.6,0.807666,1,"HBACK",2,"M","A",6,42419
"34958",3.0999999,0.1478439,1,"HBACK",4,"M","A",1,46528
"46782",8.8999996,0.2354552,1,"HBACK",3,"M","A",3,18739
"42003",7.3000002,0.73921973,1,"SEDAN",4,"M","B",5,14163
"10855",13.7,0.55578369,1,"HBACK",1,"F","C",1,2469
"31208",7.0999999,0.2984257,1,"SEDAN",4,"M","A",4,22757
"65608",13.8,0.54209453,1,"HBACK",2,"F","C",3,2000
"21576",46,0.1916496,1,"STNWG",1,"F","C",2,3604
"34921",25.5,0.78302532,1,"STNWG",3,"M","B",3,86158
"51247",10,0.58590013,1,"SEDAN",4,"M","C",5,55946
"19286",2.3999999,0.9226557,1,"HBACK",4,"F","B",5,2000
"7662",4.5999999,0.57221079,1,"SEDAN",4,"F","C",3,20737
"10508",15.1,0.8843258,1,"MIBUS",4,"F","B",4,2708
"39860",8.8999996,0.60232723,1,"HBACK",3,"F","C",4,162229
"35546",23.299999,0.098562598,1,"MIBUS",3,"F","C",3,6969
"54491",13.49,0.91444218,1,"HBACK",1,"F","A",3,5841
"60016",13.7,0.94182068,1,"SEDAN",3,"M","A",2,8038
"9801",41.100002,0.62149209,1,"STNWG",2,"M","F",2,2283
"51359",16.799999,0.98836422,1,"SEDAN",2,"F","A",5,6031
"49598",17.200001,0.70362759,1,"HBACK",2,"F","A",3,2000
"38357",8.6999998,0.75290889,1,"HBACK",3,"F","B",3,5201
"388",11.3,0.37782341,1,"SEDAN",4,"F","B",1,9375
"57536",28.900002,0.98288852,1,"STNWG",3,"M","E",2,4089
"40563",10.299999,0.45722109,1,"SEDAN",3,"F","C",6,28575
"27193",3.7,0.50650239,1,"SEDAN",4,"F","A",6,12674
"51545",13,0.61327863,1,"HBACK",2,"M","D",2,16250
"37002",18.300001,0.69541413,1,"STNWG",3,"M","E",3,27748
"48428",17.799999,0.89801508,1,"SEDAN",3,"F","C",4,18390
"65504",20.799999,0.32306641,1,"STNWG",1,"M","E",2,2000
"36141",13,0.99931562,1,"HBACK",2,"F","A",2,2000
"6264",17.700001,0.8843258,1,"HDTOP",3,"M","C",6,28088
"20548",15.299999,0.44079399,1,"UTE",2,"M","B",5,3537
"60145",25.9,0.25735801,1,"STNWG",3,"F","B",4,16706
"51206",29.200001,0.1204654,1,"HBACK",2,"F","B",5,5060
"21678",18.5,0.82135522,2,"SEDAN",2,"M","A",4,9519
"11938",7.5999999,0.7857632,1,"HBACK",3,"F","E",4,2000
"52639",7,0.99383992,1,"SEDAN",4,"F","B",4,2000
"39809",25.599998,0.98015058,1,"SEDAN",1,"F","B",5,8401
"14347",4.4000001,0.8952772,1,"HBACK",4,"F","B",3,4672
"23805",7.6999998,0.75290889,1,"HBACK",4,"F","D",2,13354
"63568",3.4000001,0.54757023,1,"HBACK",4,"F","B",1,3691
"31983",13.990001,0.2710472,1,"HBACK",1,"F","A",2,13526
"22499",14.400001,0.48186171,1,"SEDAN",2,"F","B",2,2000
"16891",32,0.58590013,1,"SEDAN",2,"M","A",1,20547
"41632",47.5,0.75017112,1,"STNWG",2,"M","C",5,3537
"32620",8.1999998,0.48459959,1,"SEDAN",3,"F","C",5,2000
"11645",13.5,0.78850102,1,"STNWG",4,"F","C",1,20645
"22453",21.900002,0.70088983,1,"STNWG",4,"F","D",2,20771
"62425",16.799999,0.63518143,1,"UTE",3,"M","E",2,4089
"19211",17.9,0.53935659,1,"SEDAN",3,"F","A",5,12406
"39838",23.099998,0.50650239,1,"SEDAN",1,"F","C",2,6657
"2810",16.699999,0.29568791,1,"HBACK",2,"F","C",3,2000
"22290",9.3000002,0.8952772,1,"HBACK",3,"F","D",4,7059
"7727",25.599998,0.81040382,2,"HDTOP",1,"F","A",1,116532
"52939",18.700001,0.98562628,1,"SEDAN",2,"M","B",5,4292
"19272",39.299999,0.45995891,1,"STNWG",2,"M","C",4,2000
"28843",39.900002,0.79397672,1,"TRUCK",1,"M","B",4,11039
"39095",14.700001,0.65160853,1,"SEDAN",2,"F","A",6,10896
"352",3.8999999,0.92539358,1,"SEDAN",4,"F","C",6,13790
"7036",41.799999,0.8131417,1,"STNWG",2,"F","B",2,5771
"4911",46.399998,0.38329911,1,"STNWG",1,"F","B",2,18276
"17852",6.6000004,0.77754962,1,"SEDAN",4,"F","C",4,4300
"53586",8,0.33401781,3,"HBACK",4,"F","D",4,105984
"30273",39.700001,0.70362759,1,"STNWG",2,"F","C",3,7656
"43583",15.8,0.63518143,1,"UTE",3,"F","B",5,24769
"32346",3.0999999,0.51745379,1,"SEDAN",4,"M","D",5,2000
"65647",10.4,0.25462011,1,"STNWG",3,"F","D",3,4128
"7741",3.0999999,0.046543501,1,"SEDAN",4,"F","A",3,11113
"13931",13.9,0.56399733,1,"COUPE",3,"F","A",3,18569
"38187",13.7,0.93086928,1,"HBACK",1,"M","A",1,41920
"67189",6.8000002,0.39151269,1,"SEDAN",4,"F","C",2,17556
